,DATA,TIPO,AREA,EMPRESA,LINHA,"PASSAGEIROS PAGANTES EM DINHEIRO

(A)","PASSAGEIROS PAGANTES BILHETE ÚNICO COMUM

(B)","PASSAGEIROS PAGANTES BILHETE ÚNICO COMUM MENSAL

(C)","PASSAGEIROS PAGANTES BILHETE ÚNICO ESTUDANTE

(D) ","PASSAGEIROS PAGANTES BILHETE ÚNICO ESTUDANTE MENSAL

(E) ","PASSAGEIROS PAGANTES BILHETE ÚNICO VALE TRANSPORTE

(F)","PASSAGEIROS PAGANTES BILHETE ÚNICO VALE TRANSPORTE MENSAL

(G)","PASSAGEIROS PAGANTES INTEGRAÇÕES METRÔ E CPTM

(H)","PASSAGEIROS PAGANTES INTEGRAÇÕES METRÔ E CPTM MENSAL

(I)","PASSAGEIROS PAGANTES

(J) = (A+B+C+D+E+F+G+H+I)","PASSAGEIROS INTEGRAÇÕES ÔNIBUS -> ÔNIBUS

(K)","PASSAGEIROS COM GRATUIDADE

(L)","TOTAL PASSAGEIROS TRANSPORTADOS

(M) = (J + K + L)"
152,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,278A10 - PENHA/CEASA,173,276,9,23,0,197,0,4,0,683,305,152,1140
153,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,297A10 - BAIRRO DO LIMAO/M BARRA FUNDA,110,216,3,14,0,308,0,332,5,988,491,83,1562
154,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,351F10 - JACANA/TERM CARRAO,572,747,20,61,3,503,0,9,0,1915,806,705,3426
155,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,701A10 - PQ EDU CHAVES/METRO V MADALENA,1383,945,28,59,3,553,7,65,1,3044,878,578,4500
156,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,701U10 - JACANA/BUTANTA USP,1,17,0,0,0,8,1,1,0,28,14,1,43
157,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,701U21 - JAÇANA/PINHEIROS,133,230,19,23,2,185,1,29,0,622,447,141,1210
158,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,907010 - JD PAINEIRAS/TERM CASA VERDE,78,146,3,15,1,116,1,0,0,360,137,84,581
159,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,930010 - TERM.CASA VERDE-PQ.D.PEDRO II,221,459,16,16,1,240,1,16,0,970,1088,252,2310
160,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,935410 - N SRA FATIMA/TERM CORREIO,282,397,21,25,0,296,1,10,1,1033,560,221,1814
161,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,967A10 - IMIRIM/PINHEIROS,253,422,15,23,0,403,1,37,0,1154,395,172,1721
162,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,970110 - ANHEMBI/METRO BARRA FUNDA,91,164,11,13,1,186,0,64,0,530,178,76,784
163,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,971A10 - JD PRIMAVERA/METRO SANTANA,330,610,17,59,0,435,0,125,0,1576,597,274,2447
164,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,971C10 - COHAB/METRO SANTANA,655,1348,57,107,8,943,7,244,3,3372,1683,729,5784
165,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,971D10 - JD DAMASCENO/CENTER NORTE,523,905,56,64,2,752,2,98,0,2402,1367,496,4265
166,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,971M10 - VILA PENTEADO/METRO SANTANA,496,956,43,78,2,746,3,116,1,2441,1563,548,4552
167,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,971R10 - ESTACAO JARAGUA/METRO SANTANA,1946,2951,98,238,11,2227,11,1003,2,8487,4065,1515,14067
168,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,971T10 - VILA SANTA MARIA/METRO SANTANA,503,808,27,74,1,544,1,305,0,2263,820,381,3464
169,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,971V10 - JD VISTA ALEGRE/CENTER NORTE,498,800,22,74,4,650,4,105,0,2157,884,443,3484
170,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,971X10 - TERM CACHOEIRINHA/METRO SANTAN,638,1298,76,88,6,856,9,394,2,3367,3018,757,7142
171,2014-12-31,CONCESSAO,AREA 2,SAMBAIBA,971X51 - T.CACHOEIRINHA/T.AMARAL GURGEL,7,14,3,0,0,13,0,2,0,39,19,5,63
172,2014-12-31,CONCESSAO,AREA 3,EXPANDIR,271310 - METRO PENHA-CHAC BELA VISTA,13,88,1,7,0,93,0,28,0,230,112,37,379
173,2014-12-31,CONCESSAO,AREA 3,EXPANDIR,274P10 - PENHA/METRO VL MARIANA,0,3,0,0,0,0,0,0,0,3,0,1,4
174,2014-12-31,CONCESSAO,AREA 3,EXPANDIR,390E10 - TERM PENHA/TERM PQ D PEDRO II,344,407,15,25,0,188,0,28,0,1007,1005,227,2239
175,2014-12-31,CONCESSAO,AREA 3,EXPANDIR,393C10 - T AMARAL GURGEL/COHAB II,13,31,1,1,0,33,0,5,0,84,30,13,127
176,2014-12-31,CONCESSAO,AREA 3,EXPANDIR,431510 - T VILA CARRAO/T PQ D PEDRO II ,247,650,37,58,2,510,2,94,0,1600,1149,371,3120
177,2014-12-31,CONCESSAO,AREA 3,EXPANDIR,508L10 - TERM.PRIN.ISABEL/ACLIMACAO,145,257,22,19,0,255,1,64,0,763,343,160,1266
178,2014-12-31,CONCESSAO,AREA 3,EXPANDIR,696P10 - T AMARAL GURGEL/PINHEIROS,21,18,1,0,0,25,2,1,0,68,16,2,86
179,2014-12-31,CONCESSAO,AREA 3,EXPANDIR,805L10 - TERM.PRINC.ISABEL/ACLIMACAO,125,313,12,14,0,309,0,38,1,812,219,135,1166
180,2014-12-31,CONCESSAO,AREA 3,EXPANDIR,908T10 - TERM PQ D PEDRO II/BUTANTA,10,12,0,3,0,28,0,4,0,57,12,2,71
181,2014-12-31,CONCESSAO,AREA 3,EXPANDIR,930P10 - TERM PQ D PEDRO II/PINHEIROS,399,905,49,43,1,1011,3,154,1,2566,2077,415,5058
182,2014-12-31,CONCESSAO,AREA 3,VIP II,117710 - TERM.A.E.CARVALHO-EST.LUZ,238,473,20,34,0,491,0,19,2,1277,885,282,2444
183,2014-12-31,CONCESSAO,AREA 3,VIP II,117751 - T A E CARVALHO/T AMARAL GURGEL,13,26,3,0,0,29,0,5,1,77,14,6,97
184,2014-12-31,CONCESSAO,AREA 3,VIP II,117810 - SAO MIGUEL-PCA DO CORREIO,1560,1938,58,150,0,1825,1,180,1,5713,2647,1116,9476
185,2014-12-31,CONCESSAO,AREA 3,VIP II,202210 - JD DOS IPES/TERM A E CARVALHO,215,231,5,29,1,230,0,49,0,760,380,211,1351
186,2014-12-31,CONCESSAO,AREA 3,VIP II,203110 - JD CAMARGO NOVO/TERM A E CARVA,546,716,13,49,0,611,0,101,2,2038,914,456,3408
187,2014-12-31,CONCESSAO,AREA 3,VIP II,205810 - SAO MIGUEL-GUAIANAZES,1,4,0,1,0,3,0,2,0,11,6,0,17
188,2014-12-31,CONCESSAO,AREA 3,VIP II,205910 - SAO MIGUEL-GUAIANAZES,1404,1697,47,131,6,1378,2,629,5,5299,3016,1348,9663
189,2014-12-31,CONCESSAO,AREA 3,VIP II,206010 - T.A.E.CARVALHO/METRO A. ALVIM,65,322,4,26,0,220,0,49,1,687,329,197,1213
190,2014-12-31,CONCESSAO,AREA 3,VIP II,207610 - JD DAS OLIVEIRAS/TERM PENHA,826,900,21,73,1,824,0,91,2,2738,1258,742,4738
191,2014-12-31,CONCESSAO,AREA 3,VIP II,208V10 - TERM A E CARVALHO-PÇA DA SE,618,803,22,36,0,504,0,53,0,2036,997,405,3438
192,2014-12-31,CONCESSAO,AREA 3,VIP II,208V11 - TER A E CARVALHO/TER P D PEDRO,79,86,4,6,0,68,0,11,0,254,162,48,464
193,2014-12-31,CONCESSAO,AREA 3,VIP II,208010 - CID KEMEL/TERM ARICANDUVA,889,1100,36,54,1,903,2,149,3,3138,1453,562,5153
194,2014-12-31,CONCESSAO,AREA 3,VIP II,208810 - CJ ENCOST NORTE/T A E CARVALHO,400,608,9,39,1,537,0,80,2,1676,798,437,2911
195,2014-12-31,CONCESSAO,AREA 3,VIP II,211V10 - VILA PARANAGUA-ESTACAO DA LUZ,201,357,6,20,0,242,0,4,0,830,258,214,1302
196,2014-12-31,CONCESSAO,AREA 3,VIP II,233A10 - JD HELENA-CERET,359,522,13,47,3,347,0,18,1,1310,676,420,2406
197,2014-12-31,CONCESSAO,AREA 3,VIP II,233C10 - TERM.A.E.CARVALHO-CERET,275,524,26,25,0,360,0,4,0,1214,879,614,2707
198,2014-12-31,CONCESSAO,AREA 3,VIP II,234A10 - TERM.A.E.CARVALHO-JD.HELENA,136,209,4,18,1,215,0,32,0,615,285,168,1068
199,2014-12-31,CONCESSAO,AREA 3,VIP II,236310 - JD.DANFER-PQ.D.PEDRO II,988,1234,24,65,2,662,0,48,1,3024,1738,560,5322
200,2014-12-31,CONCESSAO,AREA 3,VIP II,243510 - JD COIMBRA-PÇA DA SE,2,2,0,0,0,1,0,1,0,6,6,0,12
201,2014-12-31,CONCESSAO,AREA 3,VIP II,243551 - T A E CARVALHO/T.AMARAL GURGEL,11,20,0,4,0,20,0,2,0,57,4,4,65
202,2014-12-31,CONCESSAO,AREA 3,VIP II,245110 - VL S FRANCISCO/PQ D PEDRO II,94,162,6,16,0,115,0,5,1,399,283,273,955
203,2014-12-31,CONCESSAO,AREA 3,VIP II,246310 - BURGO PAULISTA-TERM.ARICANDUVA,1,3,0,0,0,3,0,0,0,7,2,1,10
204,2014-12-31,CONCESSAO,AREA 3,VIP II,250110 - JD VERONIA-PQUE D PEDRO,148,249,12,18,0,211,0,19,0,658,291,200,1149
205,2014-12-31,CONCESSAO,AREA 3,VIP II,252210 - VILA PROGRESSO-SHOP.ARICANDUVA,48,181,5,14,0,160,0,33,1,442,142,106,690
206,2014-12-31,CONCESSAO,AREA 3,VIP II,252310 - VILA PROGRESSO-T PRINC ISABEL,506,653,17,31,0,383,0,37,2,1629,698,379,2706
207,2014-12-31,CONCESSAO,AREA 3,VIP II,253F10 - TERM.A.E.CARVALHO-T.SAO MATEUS,299,494,13,52,0,483,0,2,0,1343,817,407,2567
208,2014-12-31,CONCESSAO,AREA 3,VIP II,255110 - TERM.A.E.CARVALHO-TERM.D.PEDRO,633,804,27,42,0,503,0,72,0,2082,852,341,3275
209,2014-12-31,CONCESSAO,AREA 3,VIP II,255210 - VILA MARA-TERM.D.PEDRO II,1116,1336,27,97,2,1179,1,164,1,3924,2083,799,6806
210,2014-12-31,CONCESSAO,AREA 3,VIP II,258210 - VILA NOVA CURUÇA/TER P D PEDRO,1172,1627,28,105,1,1180,2,159,2,4276,1852,858,6986
211,2014-12-31,CONCESSAO,AREA 3,VIP II,258310 - VILA CURUCA/TERM P D PEDRO,217,288,10,24,0,244,0,3,0,786,359,224,1369
212,2014-12-31,CONCESSAO,AREA 3,VIP II,262610 - JD NAZARE/ TERM P D PEDRO,1483,1905,44,109,3,1400,1,158,5,5108,2506,1055,8669
213,2014-12-31,CONCESSAO,AREA 3,VIP II,262822 - TERM SAO MIGUEL/JD NAZARE,1,0,0,0,0,0,0,0,0,1,0,2,3
214,2014-12-31,CONCESSAO,AREA 3,VIP II,263C10 - JD HELENA/COHAB II,408,622,9,50,0,619,1,65,2,1776,733,563,3072
215,2014-12-31,CONCESSAO,AREA 3,VIP II,263J10 - PENHA/CJ JOSE BONIFACIO,546,812,19,66,1,645,2,13,0,2104,1258,881,4243
216,2014-12-31,CONCESSAO,AREA 3,VIP II,266610 - JD CAMARGO VELHO/TER P D PEDRO,1081,1361,32,82,2,943,1,76,2,3580,1914,739,6233
217,2014-12-31,CONCESSAO,AREA 3,VIP II,266651 - J CAMARGO VELHO/T A E CARVALHO,2,4,0,0,0,4,0,0,0,10,20,3,33
218,2014-12-31,CONCESSAO,AREA 3,VIP II,267810 - OLIVEIRINHA/TERM P D PEDRO,1731,1801,38,116,1,1392,2,227,1,5310,2831,1090,9231
219,2014-12-31,CONCESSAO,AREA 3,VIP II,267811 - TERM A E CARVALHO/OLIVEIRINHA,14,24,0,2,0,36,0,1,0,77,52,0,129
220,2014-12-31,CONCESSAO,AREA 3,VIP II,273D10 - PQ D JOAO NERY-METRO A ALVIN,278,507,15,51,1,466,0,207,0,1525,586,325,2436
221,2014-12-31,CONCESSAO,AREA 3,VIP II,273G10 - JD HELENA-METRO A ALVIN,952,1523,35,127,2,1435,0,795,1,4870,1859,719,7448
222,2014-12-31,CONCESSAO,AREA 3,VIP II,273J10 - JD ROMANO/METRO PENHA,1190,1516,43,128,3,1469,0,194,2,4545,1554,1010,7109
223,2014-12-31,CONCESSAO,AREA 3,VIP II,273L10 - JD MORENO-METRO A ALVIN,231,479,23,38,0,421,0,193,1,1386,646,519,2551
224,2014-12-31,CONCESSAO,AREA 3,VIP II,273N10 - CID KEMEL II/MTR V MATILDE,704,1022,21,81,1,827,1,200,2,2860,1066,629,4555
225,2014-12-31,CONCESSAO,AREA 3,VIP II,273R10 - JD ROBRU-METRO A ALVIN,643,1340,40,106,2,1060,0,769,2,3962,1760,921,6643
226,2014-12-31,CONCESSAO,AREA 3,VIP II,273R11 - TERM A E CARVALHO/JD. ROBRU,10,11,1,1,0,13,0,0,0,36,26,9,71
227,2014-12-31,CONCESSAO,AREA 3,VIP II,273V10 - PARADA XV NOVEMBRO-METRO PENHA,116,214,15,20,1,149,0,11,1,527,348,277,1152
228,2014-12-31,CONCESSAO,AREA 3,VIP II,273X10 - JD OLIVEIRAS/MT ARTUR ALVIN,1515,1967,40,177,4,1819,2,705,5,6234,3028,1454,10716
229,2014-12-31,CONCESSAO,AREA 3,VIP II,275510 - GUAIANAZES-METRO PENHA,592,940,27,55,1,742,0,110,2,2469,1083,699,4251
230,2014-12-31,CONCESSAO,AREA 3,VIP II,275551 - GUAIANAZES/T A E CARVALHO,4,13,0,0,0,7,0,0,0,24,8,2,34
231,2014-12-31,CONCESSAO,AREA 3,VIP II,275610 - GUAIANAZES-METRO PATRIARCA,276,464,8,44,2,373,0,105,0,1272,500,377,2149
232,2014-12-31,CONCESSAO,AREA 3,VIP II,276210 - ERMELINO MATARAZZO-MET.TATUAPE,234,348,8,29,0,241,0,50,1,911,401,227,1539
233,2014-12-31,CONCESSAO,AREA 3,VIP II,276510 - VILA CISPER-METRO TATUAPE,1302,2225,60,178,2,1525,3,329,2,5626,2563,1138,9327
234,2014-12-31,CONCESSAO,AREA 3,VIP II,276610 - J CAMARGO VELHO/METRO ITAQUERA,789,1066,40,86,1,851,0,240,0,3073,1635,770,5478
235,2014-12-31,CONCESSAO,AREA 3,VIP II,276710 - CID PEDR J NUNES-METRO TATUAPE,149,309,6,29,0,205,0,23,0,721,297,187,1205
236,2014-12-31,CONCESSAO,AREA 3,VIP II,276810 - VILA MARA-METRO PENHA,298,412,13,37,0,390,0,67,1,1218,637,319,2174
237,2014-12-31,CONCESSAO,AREA 3,VIP II,276910 - JD ROMANO/METRO TATUAPE,338,511,17,45,2,419,0,73,0,1405,627,331,2363
238,2014-12-31,CONCESSAO,AREA 3,VIP II,277010 - GUAIANAZES-METRO VILA MATILDE,390,595,22,52,0,526,1,102,0,1688,701,420,2809
239,2014-12-31,CONCESSAO,AREA 3,VIP II,277210 - JD NAZARE/METRO PENHA,264,400,9,29,1,340,0,51,0,1094,446,268,1808
240,2014-12-31,CONCESSAO,AREA 3,VIP II,278010 - JD CAMARGO NOVO/METRO ITAQUERA,432,695,24,53,1,593,0,230,0,2028,864,418,3310
241,2014-12-31,CONCESSAO,AREA 3,VIP II,300110 - ITAIM PTA/TERM.SAO MIGUEL,336,646,13,53,1,580,0,231,2,1862,701,367,2930
242,2014-12-31,CONCESSAO,AREA 3,VIP II,300310 - JD S MARTINHO/CPTM VILA MARA,51,246,0,8,0,236,0,14,0,555,68,94,717
243,2014-12-31,CONCESSAO,AREA 3,VIP II,300410 - JD S MARTINHO/CPTM V MARA,83,107,3,4,0,143,0,102,0,442,187,101,730
244,2014-12-31,CONCESSAO,AREA 3,VIP II,306310 - GUAIANAZES-TERM SAO MATEUS,588,666,21,52,1,504,1,196,1,2030,1167,465,3662
245,2014-12-31,CONCESSAO,AREA 3,VIP II,307C10 - CONJ ENCOSTA NORTE/MT ARTUR AL,529,828,31,57,1,777,1,194,2,2420,1166,457,4043
246,2014-12-31,CONCESSAO,AREA 3,VIP II,330110 - TERM SAO MIGUEL/TERM PQ D PEDR,708,753,23,52,0,529,1,82,2,2151,1568,477,4196
247,2014-12-31,CONCESSAO,AREA 3,VIP II,331010 - T.AMARAL GURGEL/CID.TIRADENTES,21,38,2,3,0,32,0,1,1,98,58,25,181
248,2014-12-31,CONCESSAO,AREA 3,VIP II,345910 - ITAIM PAULISTA/TERM P D PEDRO,1831,3105,87,191,5,2163,6,218,5,7611,4186,1621,13418
249,2014-12-31,CONCESSAO,AREA 3,VIP II,346210 - VILA SANTANA/T PQ D PEDRO II,150,395,18,38,0,275,0,33,5,914,559,381,1854
250,2014-12-31,CONCESSAO,AREA 3,VIP II,352A10 - JD.HELENA-TERM.SAO MATEUS,794,1158,35,70,0,840,0,62,0,2959,1524,778,5261
251,2014-12-31,CONCESSAO,AREA 3,VIP II,354M10 - TERM SAO MIGUEL/TERM SAO MATEU,577,742,20,57,1,828,0,92,0,2317,1466,383,4166
252,2014-12-31,CONCESSAO,AREA 3,VIP II,357410 - JD.ETELVINA-TERM.PQ.D.PEDRO II,79,215,10,11,0,186,0,0,1,502,298,168,968
253,2014-12-31,CONCESSAO,AREA 3,VIP II,368610 - JD.SAOPAULO-TERM.D.PEDRO II,367,873,23,59,1,563,2,170,1,2059,1483,656,4198
254,2014-12-31,CONCESSAO,AREA 3,VIP II,373310 - TERM.SAO MATEUS-METRO PATRIARC,20,58,2,5,0,46,0,11,1,143,151,58,352
255,2014-12-31,CONCESSAO,AREA 3,VIP II,374M10 - CPTM ERM MAT/METRO ITAQUERA,302,558,18,53,0,402,1,88,1,1423,783,250,2456
256,2014-12-31,CONCESSAO,AREA 3,VIP II,374910 - GUAIANAZES-TERM CARRAO,165,445,10,30,2,299,1,77,0,1029,555,326,1910
257,2014-12-31,CONCESSAO,AREA 3,VIP II,390110 - Jd. Danfer/Metro Penha,109,167,5,12,0,136,0,18,0,447,194,130,771
258,2014-12-31,CONCESSAO,AREA 3,VIP II,390210 - Jd. das Oliveiras/Guaianazes,698,808,21,81,2,708,0,532,3,2853,872,616,4341
259,2014-12-31,CONCESSAO,AREA 3,VIP II,400110 - ITAQUERA/TERM VILA CARRAO,197,496,17,32,0,311,1,1,0,1055,907,475,2437
260,2014-12-31,CONCESSAO,AREA 3,VIP II,400210 - GUAIANAZES/TERM VILA CARRAO,307,676,16,46,0,451,2,84,0,1582,978,493,3053
261,2014-12-31,CONCESSAO,AREA 3,VIP II,400251 - GUAIANAZES/PQ DOM PEDRO,19,15,0,2,0,16,0,3,0,55,14,6,75
262,2014-12-31,CONCESSAO,AREA 3,VIP II,407F10 - TERM SAO MATEUS/METRO BELEM,539,754,19,39,1,539,0,55,0,1946,940,501,3387
263,2014-12-31,CONCESSAO,AREA 3,VIP II,407K10 - TERM SAO MATEUS/METRO CARRAO,343,442,12,45,3,420,0,511,5,1785,967,305,3057
264,2014-12-31,CONCESSAO,AREA 3,VIP II,421010 - T CID TIRADENTES/T PQ D PEDRO,722,1494,49,89,0,1038,3,41,2,3438,2331,628,6397
265,2014-12-31,CONCESSAO,AREA 3,VIP II,431010 - E.T.ITAQUERA/TERM PQ D PEDRO  ,416,1892,155,115,5,1210,2,184,2,3981,6796,732,11509
266,2014-12-31,CONCESSAO,AREA 3,VIP II,431110 - TER SAO MATEUS/T PQ D PEDRO II,502,1009,57,82,2,867,4,189,1,2713,1989,327,5029
267,2014-12-31,CONCESSAO,AREA 3,VIP II,431210 - JD MARILIA/TERM PQ D PEDRO II,295,854,24,54,4,617,1,62,1,1913,1173,412,3498
268,2014-12-31,CONCESSAO,AREA 3,VIP II,431310 - T CID TIRADENTES/T PQ D PEDRO ,828,2355,132,138,3,1800,3,149,4,5412,4869,946,11227
269,2014-12-31,CONCESSAO,AREA 3,VIP II,431410 - INACIO MONTEIRO/T PQ D PEDRO ,491,1116,40,79,5,784,1,44,0,2560,1317,593,4470
270,2014-12-31,CONCESSAO,AREA 4,AMBIENTAL,200210 - TERM P D PEDRO II/TERM BANDEIR,17,84,6,3,0,52,0,3,0,166,438,76,680
271,2014-12-31,CONCESSAO,AREA 4,AMBIENTAL,210010 - TERM V CARRAO/PCA DA SE CIRC,513,839,25,55,1,500,0,41,0,1975,1155,638,3768
272,2014-12-31,CONCESSAO,AREA 4,AMBIENTAL,210110 - PCA SILVIO ROMERO/PCA DA SE,55,63,3,9,0,48,0,10,0,188,71,69,328
273,2014-12-31,CONCESSAO,AREA 4,AMBIENTAL,229010 - TERM S MATEUS/TERM.PD PEDRO II,1363,1423,48,103,0,860,2,69,1,3870,2080,1179,7129
274,2014-12-31,CONCESSAO,AREA 4,AMBIENTAL,229110 - TERM S MATEUS/PCA DA REPUBLICA,29,23,0,2,0,29,0,2,0,85,36,12,133
275,2014-12-31,CONCESSAO,AREA 4,AMBIENTAL,303210 - TERM VILA CARRAO/CIRCULAR,99,198,4,21,3,148,1,0,0,474,241,161,876
276,2014-12-31,CONCESSAO,AREA 4,AMBIENTAL,313910 - JD VILA FORMOSA/PCA CLOVIS,115,177,11,8,1,114,0,6,0,432,208,147,787
277,2014-12-31,CONCESSAO,AREA 4,AMBIENTAL,316010 - TERM.V.PRUDENTE/ TERM D PEDRO,255,423,17,30,0,224,0,20,0,969,596,248,1813
278,2014-12-31,CONCESSAO,AREA 4,AMBIENTAL,341410 - VILA DALILA/TERM P D PEDRO,1,3,0,0,0,4,0,1,0,9,2,1,12
279,2014-12-31,CONCESSAO,AREA 4,AMBIENTAL,341421 - VILA DALILA/METRO TATUAPE,81,124,7,9,0,83,0,11,0,315,126,83,524
280,2014-12-31,CONCESSAO,AREA 4,AMBIENTAL,342M10 - TERM SAO MATEUS/TERM PENHA,1000,1289,43,77,1,885,8,6,0,3309,2429,1139,6877
281,2014-12-31,CONCESSAO,AREA 4,AMBIENTAL,408A10 - MACHADO DE ASSIS/CARD ALMEIDA ,139,215,4,12,0,200,2,42,0,614,233,150,997
282,2014-12-31,CONCESSAO,AREA 4,AMBIENTAL,411310 - GENTIL DE MOURA/PCA REPUBLICA,829,1231,44,90,2,1054,1,436,2,3689,1315,762,5766
283,2014-12-31,CONCESSAO,AREA 4,NOVO HORIZONTE,312N10 - TERM CID TIRADENTES/SAO MIGUEL,999,1383,22,93,3,1062,1,219,2,3784,1514,1314,6612
284,2014-12-31,CONCESSAO,AREA 4,NOVO HORIZONTE,353910 - CIDADE TIRADENTES/TERM P D PED,266,849,38,64,1,711,1,48,2,1980,1098,459,3537
285,2014-12-31,CONCESSAO,AREA 4,NOVO HORIZONTE,393H10 - T AMARAL GURGEL/JD STO ANDRE,19,29,3,0,0,20,0,0,0,71,39,10,120
286,2014-12-31,CONCESSAO,AREA 4,NOVO HORIZONTE,400310 - PRESTES MAIA/ E. T. ITAQUERA ,4,3,0,0,0,3,0,0,0,10,9,0,19
287,2014-12-31,CONCESSAO,AREA 4,NOVO HORIZONTE,400410 - T CID TIRADENTES/BARRO BRANCO,140,577,29,35,1,390,1,0,0,1173,1229,701,3103
288,2014-12-31,CONCESSAO,AREA 4,NOVO HORIZONTE,400510 - T CID TIRADENTES/BARRO BRANCO,144,636,46,35,1,462,0,3,3,1330,1236,678,3244
289,2014-12-31,CONCESSAO,AREA 4,NOVO HORIZONTE,400610 - JD NOVA VITORIA/CIRCULAR,112,431,13,21,1,199,0,0,0,777,602,111,1490
290,2014-12-31,CONCESSAO,AREA 4,NOVO HORIZONTE,400710 - COHAB JUSCELINO/TERM V CARRAO,337,795,25,53,1,516,6,1,0,1734,1161,665,3560
291,2014-12-31,CONCESSAO,AREA 4,NOVO HORIZONTE,400810 - JD CIBELE/TERM VILA CARRAO,200,433,12,27,1,394,3,1,1,1072,735,320,2127
292,2014-12-31,CONCESSAO,AREA 4,NOVO HORIZONTE,401110 - JD LIMOEIRO/TERM SAO MATEUS,662,1100,17,91,0,730,1,2,4,2607,1231,578,4416
293,2014-12-31,CONCESSAO,AREA 4,NOVO HORIZONTE,401210 - JD DA CONQUISTA/T SAO MAETEUS,958,1221,24,71,0,959,1,3,2,3239,883,608,4730
294,2014-12-31,CONCESSAO,AREA 4,NOVO HORIZONTE,401310 - JD SANTO ANDRE/TERM SAO MATEUS,890,898,11,62,1,723,1,2,0,2588,506,468,3562
295,2014-12-31,CONCESSAO,AREA 4,NOVO HORIZONTE,401410 - JD VILA CARRAO/TER VILA CARRAO,173,359,9,23,0,282,6,0,1,853,494,303,1650
296,2014-12-31,CONCESSAO,AREA 4,NOVO HORIZONTE,401510 - T SAO MATEUS/JD RODOLFO PIRANI,252,191,2,12,0,156,1,0,0,614,138,133,885
297,2014-12-31,CONCESSAO,AREA 4,NOVO HORIZONTE,401610 - T SAO MATEUS/JD RODOLFO PIRANI,258,183,3,8,0,144,0,1,1,598,144,138,880
298,2014-12-31,CONCESSAO,AREA 4,NOVO HORIZONTE,401710 - VILA YOLANDA/METALURGICOS,328,931,17,53,1,613,0,1,0,1944,1148,753,3845
299,2014-12-31,CONCESSAO,AREA 4,NOVO HORIZONTE,401810 - METALURGICOS/TERM SAO MATEUS,1019,1675,45,113,1,1111,0,0,1,3965,2299,1144,7408
300,2014-12-31,CONCESSAO,AREA 4,NOVO HORIZONTE,402410 - COHAB FAZE DO CAR/E.T.ITAQUERA,155,624,16,55,0,466,0,84,0,1400,672,574,2646
301,2014-12-31,CONCESSAO,AREA 4,NOVO HORIZONTE,403A10 - EST JOSE BONIFACIO/TERM PENHA,366,525,24,42,2,362,0,35,1,1357,523,513,2393
302,2014-12-31,CONCESSAO,AREA 4,NOVO HORIZONTE,407A10 - SHOP C L ARICANDUVA/METR BELEM,421,488,20,29,2,295,1,3,4,1263,670,380,2313
303,2014-12-31,CONCESSAO,AREA 4,NOVO HORIZONTE,407C10 - INACIO MONTEIRO/METR PATRIARCA,0,2,0,0,0,3,0,0,0,5,2,0,7
304,2014-12-31,CONCESSAO,AREA 4,NOVO HORIZONTE,407E10 - JD SANTO ANDRE/METRO CARRAO,706,1069,23,93,1,941,1,697,1,3532,1197,311,5040
305,2014-12-31,CONCESSAO,AREA 4,NOVO HORIZONTE,407G10 - JD NOVA VITORIA/METRO CARRAO,1531,2578,60,138,2,2003,2,679,3,6996,2720,1115,10831
306,2014-12-31,CONCESSAO,AREA 4,NOVO HORIZONTE,407H10 - JD SAO FRANCISCO/METR ITAQUERA,921,1554,28,116,2,1235,1,427,1,4285,1648,995,6928
307,2014-12-31,CONCESSAO,AREA 4,NOVO HORIZONTE,407I10 - COHAB I/METRO BRESSER,105,305,20,33,0,221,0,39,0,723,327,300,1350
308,2014-12-31,CONCESSAO,AREA 4,NOVO HORIZONTE,407J10 - JD SOARES/METRO TATUAPE,836,1401,48,85,0,1002,6,294,1,3673,1899,1250,6822
309,2014-12-31,CONCESSAO,AREA 4,NOVO HORIZONTE,407L10 - BARRO BRANCO/M GUILHERMINA ESP,774,1634,64,116,2,1206,2,205,4,4008,2222,1363,7593
310,2014-12-31,CONCESSAO,AREA 4,NOVO HORIZONTE,407N10 - T CID TIRADENTES/METRO PENHA,618,1572,47,128,4,1427,1,639,5,4441,3245,923,8609
311,2014-12-31,CONCESSAO,AREA 4,NOVO HORIZONTE,407P10 - TERM CID TIRADENTES/M TATUAPE,351,1126,45,71,2,779,3,80,1,2458,2271,422,5151
