,DATA,TIPO,AREA,EMPRESA,LINHA,"PASSAGEIROS PAGANTES EM DINHEIRO

(A)","PASSAGEIROS PAGANTES BILHETE ÚNICO COMUM

(B)","PASSAGEIROS PAGANTES BILHETE ÚNICO COMUM MENSAL

(C)","PASSAGEIROS PAGANTES BILHETE ÚNICO ESTUDANTE

(D) ","PASSAGEIROS PAGANTES BILHETE ÚNICO ESTUDANTE MENSAL

(E) ","PASSAGEIROS PAGANTES BILHETE ÚNICO VALE TRANSPORTE

(F)","PASSAGEIROS PAGANTES BILHETE ÚNICO VALE TRANSPORTE MENSAL

(G)","PASSAGEIROS PAGANTES INTEGRAÇÕES METRÔ E CPTM

(H)","PASSAGEIROS PAGANTES INTEGRAÇÕES METRÔ E CPTM MENSAL

(I)","PASSAGEIROS PAGANTES

(J) = (A+B+C+D+E+F+G+H+I)","PASSAGEIROS INTEGRAÇÕES ÔNIBUS -> ÔNIBUS

(K)","PASSAGEIROS COM GRATUIDADE

(L)","PASSAGEIROS COM GRATUIDADE ESTUDANTE

(M)","TOTAL PASSAGEIROS TRANSPORTADOS

(N) = (J + K + L + M)"
147,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,178810 - JD FONTALIS/METRO SANTANA,411,704,70,21,0,488,16,123,10,1843,1060,504,69,3476
148,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,201010 - JD BRASIL/METRO TIETE,622,753,66,19,3,557,12,95,13,2140,730,499,46,3415
149,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,201110 - EDU CHAVES/METRO SANTANA,561,715,67,24,0,611,9,57,8,2053,926,780,85,3844
150,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,201210 - VILA EDE/METRO TIETE,145,159,8,10,0,137,3,34,2,498,122,134,14,768
151,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,202010 - HORTO FLORESTAL/M PARADA INGLE,68,187,28,6,1,108,3,49,1,451,253,270,28,1002
152,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,202310 - CACHOEIRA/METRO TUCURUVI,507,956,96,24,2,602,19,123,19,2349,865,591,125,3930
153,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,202410 - CACHOEIRA/DIB - CIRCULAR,8,32,2,1,0,15,0,0,0,58,49,36,2,145
154,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,202510 - CACHOEIRA/DIB - CIRCULAR,533,729,54,21,0,720,13,181,9,2260,870,457,87,3674
155,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,202610 - JAÇANA/PARQUE NOVO MUNDO,123,137,7,3,0,176,2,0,2,450,265,267,34,1016
156,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,202810 - VILA AYROSA/METRO TUCURUVI,148,294,19,4,0,202,2,59,3,731,270,196,37,1234
157,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,202910 - JD FONTALIS/METRO TUCURUVI,170,319,24,8,0,225,11,77,6,840,214,183,29,1266
158,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,203210 - PQ EDU CHAVES/METRO CARANDIRU,355,475,31,15,2,457,5,105,12,1457,445,409,29,2340
159,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,209C10 - CENTER NORTE/VILA MADALENA,82,133,30,1,1,117,4,15,2,386,284,73,5,748
160,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,209P10 - CACHOEIRINHA/TERM PINHEIROS,602,1037,175,25,10,1278,49,333,37,3548,3401,585,117,7651
161,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,210410 - METRO SANTANA/TERM PQ D PEDRO ,126,296,92,2,2,171,4,12,8,714,935,238,17,1904
162,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,210510 - JD FILHOS DA TERRA/LGO DA CONC,344,469,30,10,0,309,3,11,2,1178,564,282,67,2091
163,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,211L10 - MANDAQUI/LAPA,259,369,48,9,2,331,10,28,3,1060,525,306,35,1926
164,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,212310 - VILA MEDEIROS/METRO LIBERDADE,833,498,37,15,3,355,11,104,6,1863,486,290,33,2672
165,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,212710 - JD BRASIL/METRO LIBERDADE,601,439,36,13,1,297,8,51,4,1450,398,243,30,2121
166,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,216110 - PQ EDU CHAVES/PCA DO CORREIO,307,244,23,5,0,155,5,23,4,766,319,297,15,1397
167,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,217110 - PC DA ALEGRIA/PQ D PEDRO II,299,199,13,3,0,92,6,12,2,626,253,175,11,1065
168,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,217510 - JD GUANCA/PCA DA SE,149,173,9,6,0,159,0,6,1,503,190,139,8,840
169,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,218210 - JD BRASIL/PCA DO CORREIO,1168,724,30,8,1,348,15,35,8,2340,770,473,49,3632
170,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,271A10 - TERM PENHA/METRO SANTANA,475,761,66,24,0,637,15,147,9,2135,1132,505,41,3813
171,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,271A51 - CANGAIBA/METRO SANTANA,437,551,34,15,0,383,14,78,6,1518,683,369,35,2605
172,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,271C10 - PQ VILA MARIA/PCA DA REPUBLICA,253,339,28,15,0,282,3,12,1,933,277,169,7,1386
173,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,271F10 - METRO BELEM/SHOP CENTER NORTE,265,343,35,6,0,293,8,102,3,1055,673,251,34,2013
174,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,271M10 - PQ NOVO MUNDO/METRO SANTANA,397,531,29,23,2,453,21,115,7,1578,718,353,42,2691
175,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,271P10 - CANGAIBA/EST DA LUZ,303,290,18,11,0,171,7,8,1,809,388,334,19,1550
176,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,272N10 - PQ NOVO MUNDO/METRO BRAS,284,247,22,4,0,141,4,10,0,712,261,142,20,1135
177,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,274010 - PEDRA BRANCA/METRO SANTANA,174,331,48,12,0,261,3,42,4,875,512,377,28,1792
178,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,278A10 - PENHA/CEASA,113,242,30,9,1,158,7,5,2,567,266,151,13,997
179,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,297A10 - BAIRRO DO LIMAO/M BARRA FUNDA,114,135,31,8,0,223,4,220,5,742,317,76,17,1152
180,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,351F10 - JACANA/TERM CARRAO,523,696,59,23,1,491,4,7,13,1818,733,774,48,3373
181,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,701A10 - PQ EDU CHAVES/METRO V MADALENA,1526,865,55,24,2,394,9,34,8,2918,822,648,56,4444
182,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,701U10 - JACANA/BUTANTA USP,23,54,5,1,1,41,2,8,0,135,45,22,6,208
183,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,701U21 - JAÇANA/PINHEIROS,107,227,48,10,2,207,6,32,3,643,453,148,11,1255
184,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,907010 - JD PAINEIRAS/TERM CASA VERDE,57,104,17,4,0,95,5,0,0,282,87,71,7,447
185,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,916610 - JD SANTA CRUZ/PÇA DO CORREIO,0,0,0,0,0,0,0,0,0,0,4,0,0,4
186,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,930010 - TERM.CASA VERDE-PQ.D.PEDRO II,155,461,42,10,4,170,9,21,5,877,917,248,24,2066
187,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,935410 - N SRA FATIMA/TERM CORREIO,249,394,43,10,5,308,9,8,4,1031,533,296,31,1891
188,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,967A10 - IMIRIM/PINHEIROS,201,275,50,13,0,259,7,25,2,833,275,208,13,1329
189,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,970110 - ANHEMBI/METRO BARRA FUNDA,1,1,1,0,0,1,0,1,0,5,0,0,0,5
190,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,971A10 - JD PRIMAVERA/METRO SANTANA,308,547,60,16,5,398,9,115,3,1461,544,402,50,2457
191,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,971C10 - COHAB/METRO SANTANA,606,1172,136,30,2,868,25,169,9,3019,1524,860,98,5501
192,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,971D10 - JD DAMASCENO/CENTER NORTE,411,828,84,29,1,684,19,69,7,2132,1062,559,92,3845
193,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,971M10 - VILA PENTEADO/METRO SANTANA,501,863,102,16,1,798,23,97,9,2410,1522,662,92,4686
194,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,971R10 - ESTACAO JARAGUA/METRO SANTANA,1649,2584,257,61,6,2152,64,802,41,7620,3613,1804,319,13356
195,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,971R42 - CDHU VOITH/METRO SANTANA,0,1,0,0,0,1,0,0,0,2,0,0,0,2
196,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,971T10 - VILA SANTA MARIA/METRO SANTANA,491,778,78,24,0,510,12,219,18,2132,737,457,88,3414
197,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,971V10 - JD VISTA ALEGRE/CENTER NORTE,457,740,70,24,1,610,18,63,14,1998,846,532,53,3429
198,2015-12-31,CONCESSAO,AREA 2,SAMBAIBA,971X10 - TERM CACHOEIRINHA/METRO SANTAN,608,1212,200,40,4,895,31,381,36,3409,3283,921,145,7758
199,2015-12-31,CONCESSAO,AREA 3,EXPANDIR,N30711 - TERMP Q D PEDRO II/TERM PINHEI,54,131,10,1,2,164,1,8,2,373,67,25,9,474
200,2015-12-31,CONCESSAO,AREA 3,EXPANDIR,N40111 - TERM VL CARRAO/T PQ D PEDRO II,27,48,6,2,0,26,0,0,0,109,75,17,4,205
201,2015-12-31,CONCESSAO,AREA 3,EXPANDIR,N40411 - TERM SAO MATEUS/TERM PENHA,43,45,4,0,0,42,5,0,3,142,81,36,3,262
202,2015-12-31,CONCESSAO,AREA 3,EXPANDIR,271310 - METRO PENHA-CHAC BELA VISTA,21,79,3,0,2,65,0,12,0,182,49,53,13,297
203,2015-12-31,CONCESSAO,AREA 3,EXPANDIR,274P10 - PENHA/METRO VL MARIANA,213,265,30,5,0,177,4,27,3,724,261,219,20,1224
204,2015-12-31,CONCESSAO,AREA 3,EXPANDIR,320610 - METRO PENHA/CONJ CHAPARRAL,4,24,1,2,0,21,0,7,2,61,31,20,2,114
205,2015-12-31,CONCESSAO,AREA 3,EXPANDIR,390E10 - TERM PENHA/TERM PQ D PEDRO II,239,363,46,11,0,168,9,30,2,868,1135,282,28,2313
206,2015-12-31,CONCESSAO,AREA 3,EXPANDIR,431510 - T VILA CARRAO/T PQ D PEDRO II ,124,430,61,12,0,316,5,52,8,1009,846,274,31,2160
207,2015-12-31,CONCESSAO,AREA 3,EXPANDIR,508L10 - TERM.PRIN.ISABEL/ACLIMACAO,71,156,26,6,1,148,6,45,0,459,232,158,17,866
208,2015-12-31,CONCESSAO,AREA 3,EXPANDIR,805L10 - TERM.PRINC.ISABEL/ACLIMACAO,59,133,14,2,0,151,0,10,7,376,125,77,6,584
209,2015-12-31,CONCESSAO,AREA 3,EXPANDIR,908T10 - TERM PQ D PEDRO II/BUTANTA,116,343,48,6,1,372,14,61,7,968,977,237,30,2212
210,2015-12-31,CONCESSAO,AREA 3,EXPANDIR,930P10 - TERM PQ D PEDRO II/PINHEIROS,194,380,74,13,2,450,21,70,11,1218,1199,257,17,2691
211,2015-12-31,CONCESSAO,AREA 3,VIP II,N30111 - TERM A E CARVALHO/T P D PEDRO ,98,87,10,1,0,36,1,2,3,239,202,54,9,504
212,2015-12-31,CONCESSAO,AREA 3,VIP II,N30211 - T A E CARVALHO/T PQ D PEDRO II,26,45,4,1,2,48,1,3,3,133,114,22,4,273
213,2015-12-31,CONCESSAO,AREA 3,VIP II,N30311 - T A E CARVALHO/TERM ARICANDUVA,8,10,4,0,0,11,0,0,0,33,17,9,2,61
214,2015-12-31,CONCESSAO,AREA 3,VIP II,N30411 - TER SAO MIGUEL/TERM ARICANDUVA,32,35,5,1,1,25,0,0,1,100,47,18,3,168
215,2015-12-31,CONCESSAO,AREA 3,VIP II,N30511 - TERM SAO MIGUEL/CPTM GUAIANAZE,7,9,0,1,0,21,0,0,1,39,24,4,0,67
216,2015-12-31,CONCESSAO,AREA 3,VIP II,N30611 - TERM SAO MIGUEL/METRO ITAQUERA,8,12,4,0,1,18,3,10,0,56,59,14,1,130
217,2015-12-31,CONCESSAO,AREA 3,VIP II,N30811 - METRO ITAQUERA/TERM PQ D PEDRO,53,142,9,1,0,84,0,9,4,303,278,59,7,647
218,2015-12-31,CONCESSAO,AREA 3,VIP II,N33111 - TERM A E CARVALHO/OLIVEIRINHA,16,33,1,0,0,35,1,1,1,88,64,17,3,172
219,2015-12-31,CONCESSAO,AREA 3,VIP II,N33411 - T A E CARVALHO/CPTM GUAIANAZES,5,24,3,0,0,22,0,0,0,54,54,17,4,129
220,2015-12-31,CONCESSAO,AREA 3,VIP II,N33511 - TERM PENHA/ERMELINO MATARAZZO,1,6,1,0,1,9,0,0,0,18,11,4,0,33
221,2015-12-31,CONCESSAO,AREA 3,VIP II,N33611 - T SAO MIGUEL/JD CARMARGO VELHO,0,5,0,0,0,7,0,0,0,12,7,0,0,19
222,2015-12-31,CONCESSAO,AREA 3,VIP II,N33711 - T SAO MIGUEL/JD CAMARGO VELHO,5,2,3,0,0,5,1,0,1,17,20,7,0,44
223,2015-12-31,CONCESSAO,AREA 3,VIP II,N33811 - EST CPTM GUAIANAZES/LAJEADO,1,6,0,1,0,12,2,0,0,22,7,2,0,31
224,2015-12-31,CONCESSAO,AREA 3,VIP II,N33911 - METRO ITAQUERA/ARTUR ALVIM,1,2,0,0,0,1,0,1,0,5,7,2,0,14
225,2015-12-31,CONCESSAO,AREA 3,VIP II,N34011 - METRO ITQUERA/JD SANTO ANTONIO,2,4,1,0,0,7,0,3,0,17,16,1,1,35
226,2015-12-31,CONCESSAO,AREA 3,VIP II,N34211 - TERM PENHA/JARDIM DANFER,3,11,2,0,0,7,0,0,0,23,5,0,0,28
227,2015-12-31,CONCESSAO,AREA 3,VIP II,N34311 - T A E CARVALHO/METRO ITAQUERA,3,6,1,1,0,11,1,2,0,26,17,1,0,44
228,2015-12-31,CONCESSAO,AREA 3,VIP II,117710 - TERM.A.E.CARVALHO-EST.LUZ,234,370,43,10,3,392,16,20,3,1091,691,278,23,2083
229,2015-12-31,CONCESSAO,AREA 3,VIP II,117810 - SAO MIGUEL-PCA DO CORREIO,1372,1545,147,31,4,1392,35,113,17,4659,2199,1052,124,8034
230,2015-12-31,CONCESSAO,AREA 3,VIP II,117831 - SAO MIGUEL/PÇA DO CORREIO,4,7,1,0,0,9,0,3,0,24,6,0,0,30
231,2015-12-31,CONCESSAO,AREA 3,VIP II,202210 - JD DOS IPES/TERM A E CARVALHO,157,180,16,6,0,181,6,40,6,594,313,214,17,1138
232,2015-12-31,CONCESSAO,AREA 3,VIP II,203110 - JD CAMARGO NOVO/TERM A E CARVA,523,609,40,14,0,582,19,80,16,1884,925,555,64,3428
233,2015-12-31,CONCESSAO,AREA 3,VIP II,204110 - VILA NOVA SILVIA-TERM PENHA,0,0,0,0,0,1,0,0,0,1,1,0,0,2
234,2015-12-31,CONCESSAO,AREA 3,VIP II,205810 - SAO MIGUEL-GUAIANAZES,143,322,35,7,0,331,17,88,10,955,445,288,25,1713
235,2015-12-31,CONCESSAO,AREA 3,VIP II,205910 - SAO MIGUEL-GUAIANAZES,1071,1445,84,39,3,1164,53,411,49,4320,2419,1211,119,8069
236,2015-12-31,CONCESSAO,AREA 3,VIP II,206010 - T.A.E.CARVALHO/METRO A. ALVIM,59,227,18,2,0,170,6,43,7,532,208,173,20,933
237,2015-12-31,CONCESSAO,AREA 3,VIP II,207610 - JD DAS OLIVEIRAS/TERM PENHA,684,713,70,22,0,633,77,79,27,2306,956,733,79,4074
238,2015-12-31,CONCESSAO,AREA 3,VIP II,207910 - JD NELIA/TERM ARICANDUVA,0,0,0,0,0,0,0,2,1,3,1,0,0,4
239,2015-12-31,CONCESSAO,AREA 3,VIP II,208V10 - TERM A E CARVALHO-PÇA DA SE,503,762,66,15,3,444,18,51,9,1872,939,448,51,3310
240,2015-12-31,CONCESSAO,AREA 3,VIP II,208010 - CID KEMEL/TERM ARICANDUVA,693,833,56,29,0,701,26,94,13,2446,1093,592,57,4188
241,2015-12-31,CONCESSAO,AREA 3,VIP II,208810 - CJ ENCOST NORTE/T A E CARVALHO,399,447,35,13,2,456,18,48,15,1435,632,440,51,2558
242,2015-12-31,CONCESSAO,AREA 3,VIP II,211V10 - VILA PARANAGUA-ESTACAO DA LUZ,153,297,17,6,2,237,2,3,4,721,207,314,14,1256
243,2015-12-31,CONCESSAO,AREA 3,VIP II,233A10 - JD HELENA-CERET,266,363,33,9,1,338,5,10,4,1029,496,393,39,1957
244,2015-12-31,CONCESSAO,AREA 3,VIP II,233C10 - TERM.A.E.CARVALHO-CERET,244,483,37,20,1,297,7,0,3,1092,697,544,27,2360
245,2015-12-31,CONCESSAO,AREA 3,VIP II,234A10 - TERM.A.E.CARVALHO-JD.HELENA,129,199,17,8,0,190,5,32,5,586,298,194,17,1095
246,2015-12-31,CONCESSAO,AREA 3,VIP II,236310 - JD.DANFER-PQ.D.PEDRO II,792,980,62,28,1,480,12,31,9,2395,1363,521,77,4356
247,2015-12-31,CONCESSAO,AREA 3,VIP II,243510 - JD COIMBRA-PÇA DA SE,88,152,20,11,1,95,0,3,5,375,216,224,22,837
248,2015-12-31,CONCESSAO,AREA 3,VIP II,245110 - VL S FRANCISCO/PQ D PEDRO II,44,107,13,7,1,64,1,3,1,242,130,165,14,551
249,2015-12-31,CONCESSAO,AREA 3,VIP II,246010 - CEM.SAUDADE/T PQ.D.PEDRO II,2,1,1,0,0,5,1,0,1,11,15,1,0,27
250,2015-12-31,CONCESSAO,AREA 3,VIP II,246310 - BURGO PAULISTA-TERM.ARICANDUVA,63,110,15,4,0,75,0,3,1,274,160,202,10,646
251,2015-12-31,CONCESSAO,AREA 3,VIP II,250110 - JD VERONIA-PQUE D PEDRO,160,251,22,13,1,220,3,15,7,692,288,274,14,1268
252,2015-12-31,CONCESSAO,AREA 3,VIP II,252210 - VILA PROGRESSO-SHOP.ARICANDUVA,61,130,21,7,0,140,6,38,3,406,174,134,14,728
253,2015-12-31,CONCESSAO,AREA 3,VIP II,252310 - VILA PROGRESSO-T PRINC ISABEL,558,681,51,16,2,428,8,25,8,1780,691,487,50,3008
254,2015-12-31,CONCESSAO,AREA 3,VIP II,253F10 - TERM.A.E.CARVALHO-T.SAO MATEUS,223,421,38,10,0,348,24,0,14,1079,695,427,46,2247
255,2015-12-31,CONCESSAO,AREA 3,VIP II,255110 - TERM.A.E.CARVALHO-TERM.D.PEDRO,430,611,41,13,2,393,18,48,4,1562,682,315,45,2604
256,2015-12-31,CONCESSAO,AREA 3,VIP II,255210 - VILA MARA-TERM.D.PEDRO II,1272,1545,112,57,1,1336,39,202,12,4576,2445,1114,142,8277
257,2015-12-31,CONCESSAO,AREA 3,VIP II,258210 - VILA NOVA CURUÇA/TER P D PEDRO,1037,1358,93,32,4,978,34,114,12,3668,1660,898,108,6334
258,2015-12-31,CONCESSAO,AREA 3,VIP II,258221 - VILA ROBERTINA/PQ D PEDRO II,13,5,2,0,0,3,0,2,0,25,27,8,2,62
259,2015-12-31,CONCESSAO,AREA 3,VIP II,258310 - VILA CURUCA/TERM P D PEDRO,199,260,31,8,1,253,3,22,6,784,400,277,29,1490
260,2015-12-31,CONCESSAO,AREA 3,VIP II,262610 - JD NAZARE/ TERM P D PEDRO,1212,1543,105,40,2,1077,29,125,19,4155,1972,1069,117,7313
261,2015-12-31,CONCESSAO,AREA 3,VIP II,262810 - JD NAZARE/TERM ARICANDUVA,0,0,0,0,0,2,0,0,0,2,1,0,0,3
262,2015-12-31,CONCESSAO,AREA 3,VIP II,262822 - TERM SAO MIGUEL/JD NAZARE,90,137,8,5,0,132,7,26,1,408,136,134,11,689
263,2015-12-31,CONCESSAO,AREA 3,VIP II,263C10 - JD HELENA/COHAB II,374,504,36,8,0,502,25,44,14,1509,505,534,49,2597
264,2015-12-31,CONCESSAO,AREA 3,VIP II,263J10 - PENHA/CJ JOSE BONIFACIO,550,718,66,17,5,577,19,4,6,1963,1051,935,71,4020
265,2015-12-31,CONCESSAO,AREA 3,VIP II,266610 - JD CAMARGO VELHO/TER P D PEDRO,813,1034,74,24,1,756,31,60,13,2808,1498,683,63,5052
266,2015-12-31,CONCESSAO,AREA 3,VIP II,267810 - OLIVEIRINHA/TERM P D PEDRO,1311,1504,121,42,4,1113,37,144,21,4301,2427,1103,133,7964
267,2015-12-31,CONCESSAO,AREA 3,VIP II,273D10 - PQ D JOAO NERY-METRO A ALVIN,182,342,34,12,0,331,12,136,10,1061,469,332,30,1892
268,2015-12-31,CONCESSAO,AREA 3,VIP II,273G10 - JD HELENA-METRO A ALVIN,795,1332,77,46,1,1338,32,600,40,4264,1503,807,148,6722
269,2015-12-31,CONCESSAO,AREA 3,VIP II,273J10 - JD ROMANO/METRO PENHA,1133,1299,81,41,4,1307,58,163,31,4123,1413,1271,156,6963
270,2015-12-31,CONCESSAO,AREA 3,VIP II,273L10 - JD MORENO-METRO A ALVIN,253,443,62,20,1,373,16,159,13,1341,661,610,57,2669
271,2015-12-31,CONCESSAO,AREA 3,VIP II,273N10 - CID KEMEL II/MTR V MATILDE,580,856,82,22,1,784,28,117,20,2492,902,648,60,4102
272,2015-12-31,CONCESSAO,AREA 3,VIP II,273R10 - JD ROBRU-METRO A ALVIN,699,1254,150,40,5,1045,28,561,24,3807,1628,1081,125,6641
273,2015-12-31,CONCESSAO,AREA 3,VIP II,273V10 - PARADA XV NOVEMBRO-METRO PENHA,77,121,18,5,1,92,1,5,0,320,176,202,13,711
274,2015-12-31,CONCESSAO,AREA 3,VIP II,273X10 - JD OLIVEIRAS/MT ARTUR ALVIN,1371,1783,160,58,5,1751,61,631,44,5864,2923,1693,216,10696
275,2015-12-31,CONCESSAO,AREA 3,VIP II,275510 - GUAIANAZES-METRO PENHA,424,565,63,10,1,465,14,68,7,1618,763,641,47,3069
276,2015-12-31,CONCESSAO,AREA 3,VIP II,275610 - GUAIANAZES-METRO PATRIARCA,232,326,23,4,0,288,12,69,10,966,362,309,29,1666
277,2015-12-31,CONCESSAO,AREA 3,VIP II,276210 - ERMELINO MATARAZZO-MET.TATUAPE,238,361,30,14,0,294,7,40,8,992,421,298,37,1748
278,2015-12-31,CONCESSAO,AREA 3,VIP II,276510 - VILA CISPER-METRO TATUAPE,1189,1695,160,56,6,1333,23,232,32,4726,1973,1178,145,8022
279,2015-12-31,CONCESSAO,AREA 3,VIP II,276610 - J CAMARGO VELHO/METRO ITAQUERA,812,978,81,23,1,816,46,192,23,2975,1552,904,120,5551
280,2015-12-31,CONCESSAO,AREA 3,VIP II,276710 - CID PEDR J NUNES-METRO TATUAPE,134,236,19,12,1,186,1,24,3,617,256,201,21,1095
281,2015-12-31,CONCESSAO,AREA 3,VIP II,276810 - VILA MARA-METRO PENHA,208,268,22,9,1,302,9,34,4,857,376,255,29,1517
282,2015-12-31,CONCESSAO,AREA 3,VIP II,276910 - JD ROMANO/METRO TATUAPE,363,433,38,15,1,360,18,48,8,1285,641,320,43,2289
283,2015-12-31,CONCESSAO,AREA 3,VIP II,277010 - GUAIANAZES-METRO VILA MATILDE,302,565,60,13,2,436,21,76,9,1485,693,504,53,2735
284,2015-12-31,CONCESSAO,AREA 3,VIP II,277210 - JD NAZARE/METRO PENHA,233,364,26,12,0,330,19,48,4,1036,441,242,20,1739
285,2015-12-31,CONCESSAO,AREA 3,VIP II,278010 - JD CAMARGO NOVO/METRO ITAQUERA,368,585,59,18,1,547,15,206,13,1814,789,484,60,3147
286,2015-12-31,CONCESSAO,AREA 3,VIP II,300110 - ITAIM PTA/TERM.SAO MIGUEL,266,442,28,13,0,480,11,147,10,1398,549,376,39,2362
287,2015-12-31,CONCESSAO,AREA 3,VIP II,300310 - JD S MARTINHO/CPTM VILA MARA,41,199,7,5,0,186,4,14,5,461,70,132,19,682
288,2015-12-31,CONCESSAO,AREA 3,VIP II,300410 - JD S MARTINHO/CPTM V MARA,67,104,5,2,0,135,3,100,5,421,134,107,15,677
289,2015-12-31,CONCESSAO,AREA 3,VIP II,306310 - GUAIANAZES-TERM SAO MATEUS,377,457,25,6,0,398,53,125,20,1461,809,427,58,2755
290,2015-12-31,CONCESSAO,AREA 3,VIP II,307C10 - CONJ ENCOSTA NORTE/MT ARTUR AL,422,562,50,20,0,534,18,138,23,1769,773,449,60,3051
291,2015-12-31,CONCESSAO,AREA 3,VIP II,330110 - TERM SAO MIGUEL/TERM PQ D PEDR,689,811,84,25,2,542,22,87,12,2275,1507,579,51,4412
292,2015-12-31,CONCESSAO,AREA 3,VIP II,345910 - ITAIM PAULISTA/TERM P D PEDRO,1370,2269,198,41,3,1745,62,152,37,5880,3135,1529,166,10710
293,2015-12-31,CONCESSAO,AREA 3,VIP II,346210 - VILA SANTANA/T PQ D PEDRO II,112,241,32,10,1,187,2,11,5,602,342,290,25,1259
294,2015-12-31,CONCESSAO,AREA 3,VIP II,352A10 - JD.HELENA-TERM.SAO MATEUS,665,870,70,21,2,697,45,33,21,2425,1199,705,55,4384
295,2015-12-31,CONCESSAO,AREA 3,VIP II,354M10 - TERM SAO MIGUEL/TERM SAO MATEU,594,664,62,12,2,754,64,69,24,2247,1371,577,72,4267
296,2015-12-31,CONCESSAO,AREA 3,VIP II,357410 - JD.ETELVINA-TERM.PQ.D.PEDRO II,24,144,20,3,0,95,5,0,1,292,202,153,12,659
297,2015-12-31,CONCESSAO,AREA 3,VIP II,368610 - JD.SAOPAULO-TERM.D.PEDRO II,292,617,84,23,1,445,14,81,15,1573,1110,600,46,3329
298,2015-12-31,CONCESSAO,AREA 3,VIP II,374M10 - CPTM ERM MAT/METRO ITAQUERA,273,465,45,10,2,365,23,94,6,1284,706,296,34,2320
299,2015-12-31,CONCESSAO,AREA 3,VIP II,374910 - GUAIANAZES-TERM CARRAO,176,351,33,4,0,282,2,68,6,922,456,305,38,1721
300,2015-12-31,CONCESSAO,AREA 3,VIP II,390110 - Jd. Danfer/Metro Penha,75,110,18,1,1,106,1,9,3,324,149,159,4,636
301,2015-12-31,CONCESSAO,AREA 3,VIP II,390210 - Jd. das Oliveiras/Guaianazes,650,758,56,17,2,671,25,419,30,2628,823,650,81,4182
302,2015-12-31,CONCESSAO,AREA 3,VIP II,390310 - C.A.E.Carvalho/Shop.Penha,106,185,14,4,1,138,3,6,2,459,212,238,11,920
303,2015-12-31,CONCESSAO,AREA 3,VIP II,400110 - ITAQUERA/TERM VILA CARRAO,185,349,45,4,2,251,7,1,4,849,620,469,24,1962
304,2015-12-31,CONCESSAO,AREA 3,VIP II,400210 - GUAIANAZES/TERM VILA CARRAO,318,603,51,18,0,391,47,76,14,1518,962,575,42,3097
305,2015-12-31,CONCESSAO,AREA 3,VIP II,407F10 - TERM SAO MATEUS/METRO BELEM,426,639,80,16,2,504,18,40,7,1734,830,521,52,3137
